Pricing Table,,,,,,,,
package,Priority,,,,,,,
carrier,AA,,,,,,,
subcode,CUU,,,,,,,
result_type,UNITLESS_PTABLE_TYPE,,,,,,,
name,Priority Price Test_t,,,,,,,
comment,Updating stale,,,,,,,
attribute_group,TS,,,,,,,
Pricelines,,,,,,,,
arm,Comment,Segment matches required,Travel dates (Start),Travel dates (End),Loc1,Loc2,Sector direction,Result
Control,Control - no change,,08/06/2026,12/05/2026,P:RDU,P:YYC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:RFD,P:AMA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:RSW,P:ROW,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SAV,P:ACK,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SBN,P:BIL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SBY,P:GRR,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SCE,P:BTV,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SDF,P:FAR,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SFO,P:CHO,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SGF,P:TLH,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SHD,P:GEG,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SHD,P:MLI,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SHV,P:TUS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SJC,P:ABE,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SJT,P:SRQ,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SLC,P:GSP,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SNA,P:GEG,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SNA,P:PHX,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SNA,P:SAV,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SPI,P:ORD,From Loc1 to Loc2,1.0
